epoch,step,train_loss_epoch,train_loss_step
258,2330,15.491782188415527,
259,2339,15.362829208374023,
260,2348,15.442033767700195,
261,2349,,15.441255569458008
261,2357,15.292054176330566,
262,2366,15.207365036010742,
263,2375,15.479147911071777,
264,2384,15.555999755859375,
265,2393,15.259328842163086,
266,2399,,15.00937557220459
266,2402,15.348973274230957,
267,2411,15.582619667053223,
268,2420,15.480379104614258,
269,2429,15.303177833557129,
270,2438,15.408794403076172,
271,2447,15.4241943359375,
272,2449,,15.670404434204102
272,2456,15.465933799743652,
273,2465,15.220747947692871,
274,2474,15.41761589050293,
275,2483,15.410749435424805,
276,2492,15.273955345153809,
277,2499,,17.18269920349121
277,2501,15.474748611450195,
278,2510,15.290441513061523,
279,2519,15.333234786987305,
280,2528,15.233220100402832,
281,2537,15.182482719421387,
282,2546,15.2391939163208,
283,2549,,15.08930492401123
283,2555,15.453869819641113,
284,2564,15.438536643981934,
285,2573,15.405479431152344,
286,2582,15.398232460021973,
287,2591,15.426032066345215,
288,2599,,15.193229675292969
288,2600,15.522756576538086,
289,2609,15.398776054382324,
290,2618,15.4916353225708,
291,2627,15.280622482299805,
292,2636,15.200838088989258,
293,2645,15.368975639343262,
294,2649,,15.110404014587402
294,2654,15.533590316772461,
295,2663,15.042677879333496,
296,2672,15.435420989990234,
297,2681,15.302616119384766,
298,2690,15.238825798034668,
299,2699,,15.400956153869629
299,2699,15.295860290527344,
300,2708,15.465768814086914,
301,2717,15.044581413269043,
302,2726,15.390515327453613,
303,2735,15.472305297851562,
304,2744,15.39585018157959,
305,2749,,15.576983451843262
305,2753,15.385930061340332,
306,2762,15.410321235656738,
307,2771,15.435897827148438,
308,2780,15.433304786682129,
309,2789,15.460928916931152,
310,2798,15.429539680480957,
311,2799,,13.400171279907227
311,2807,15.391369819641113,
312,2816,15.266866683959961,
313,2825,15.55089282989502,
314,2834,15.485396385192871,
315,2843,15.34706974029541,
316,2849,,16.310155868530273
316,2852,15.457921981811523,
317,2861,15.409355163574219,
318,2870,15.309365272521973,
319,2879,15.502561569213867,
320,2888,15.35452651977539,
321,2897,15.274565696716309,
322,2899,,16.97526741027832
322,2906,15.29566764831543,
323,2915,15.343904495239258,
324,2924,15.61726188659668,
325,2933,15.542354583740234,
326,2942,15.296359062194824,
327,2949,,15.954366683959961
327,2951,15.284881591796875,
328,2960,15.355805397033691,
329,2969,15.51030158996582,
330,2978,15.395057678222656,
331,2987,15.389854431152344,
332,2996,15.4091157913208,
333,2999,,15.551392555236816
333,3005,15.47946834564209,
334,3014,15.33499526977539,
335,3023,15.573501586914062,
336,3032,15.291203498840332,
337,3041,15.537745475769043,
338,3049,,17.478906631469727
338,3050,15.298470497131348,
339,3059,15.353371620178223,
340,3068,15.349164009094238,
341,3077,15.18129825592041,
342,3086,15.352898597717285,
343,3095,15.590392112731934,
344,3099,,15.754984855651855
344,3104,15.206697463989258,
345,3113,15.357972145080566,
346,3122,15.289738655090332,
347,3131,15.237435340881348,
348,3140,15.392268180847168,
349,3149,,14.468358993530273
349,3149,15.28956127166748,
350,3158,15.176295280456543,
351,3167,15.222625732421875,
352,3176,15.44704532623291,
353,3185,15.304646492004395,
354,3194,15.545153617858887,
355,3199,,14.812222480773926
355,3203,15.366455078125,
356,3212,15.472807884216309,
357,3221,15.279624938964844,
358,3230,15.351119041442871,
359,3239,15.688995361328125,
360,3248,15.188407897949219,
361,3249,,14.90381908416748
361,3257,15.647249221801758,
362,3266,15.554469108581543,
363,3275,15.419750213623047,
364,3284,15.506135940551758,
365,3293,15.38565444946289,
366,3299,,15.349100112915039
366,3302,15.285331726074219,
367,3311,15.375252723693848,
368,3320,15.443926811218262,
369,3329,15.390597343444824,
370,3338,15.418924331665039,
371,3347,15.530271530151367,
372,3349,,15.496926307678223
372,3356,15.29680061340332,
373,3365,15.322905540466309,
374,3374,15.353811264038086,
375,3383,15.44229507446289,
376,3392,15.452075958251953,
377,3399,,16.77863311767578
377,3401,15.288884162902832,
378,3410,15.35631275177002,
379,3419,15.423396110534668,
380,3428,15.179259300231934,
381,3437,15.298290252685547,
382,3446,15.455602645874023,
383,3449,,15.434812545776367
383,3455,15.490067481994629,
384,3464,15.547438621520996,
385,3473,15.339434623718262,
386,3482,15.322649002075195,
387,3491,15.384184837341309,
388,3499,,14.237325668334961
388,3500,15.317523956298828,
389,3509,15.347291946411133,
390,3518,15.42396354675293,
391,3527,15.44420337677002,
392,3536,15.321599006652832,
393,3545,15.309775352478027,
394,3549,,15.926678657531738
394,3554,15.384686470031738,
395,3563,15.383502006530762,
396,3572,15.50869083404541,
397,3581,15.396795272827148,
398,3590,15.311698913574219,
399,3599,,15.533674240112305
399,3599,15.118084907531738,
400,3608,15.360974311828613,
401,3617,15.203022003173828,
402,3626,15.38432502746582,
403,3635,15.229449272155762,
404,3644,15.389691352844238,
405,3649,,15.09477424621582
405,3653,15.277789115905762,
406,3662,15.228611946105957,
407,3671,15.481952667236328,
408,3680,15.438529968261719,
409,3689,15.445462226867676,
410,3698,15.475926399230957,
411,3699,,16.252994537353516
411,3707,15.163990020751953,
412,3716,15.440778732299805,
413,3725,15.504734992980957,
414,3734,15.363037109375,
415,3743,15.262798309326172,
416,3749,,17.370405197143555
416,3752,15.49915599822998,
417,3761,15.386116981506348,
418,3770,15.5263671875,
419,3779,15.572958946228027,
420,3788,15.655778884887695,
421,3797,15.06962776184082,
422,3799,,16.4084529876709
422,3806,15.61196231842041,
423,3815,15.531767845153809,
424,3824,15.503777503967285,
425,3833,15.477745056152344,
426,3842,15.275944709777832,
427,3849,,14.174909591674805
427,3851,15.359333992004395,
428,3860,15.37210464477539,
429,3869,15.414251327514648,
430,3878,15.111610412597656,
431,3887,15.256013870239258,
432,3896,15.427755355834961,
433,3899,,15.058892250061035
433,3905,15.305903434753418,
434,3914,15.360968589782715,
435,3923,15.405842781066895,
436,3932,15.437663078308105,
437,3941,15.158543586730957,
438,3949,,16.56524658203125
438,3950,15.391770362854004,
439,3959,15.42422866821289,
440,3968,15.15831470489502,
441,3977,15.482150077819824,
442,3986,15.555449485778809,
443,3995,15.3447265625,
444,3999,,16.694921493530273
444,4004,15.339240074157715,
445,4013,15.463155746459961,
446,4022,15.431807518005371,
447,4031,15.337940216064453,
448,4040,15.3917236328125,
449,4049,,15.30732250213623
449,4049,15.326027870178223,
450,4058,15.502511978149414,
451,4067,15.381047248840332,
452,4076,15.173395156860352,
453,4085,15.442089080810547,
454,4094,15.438044548034668,
455,4099,,13.226749420166016
455,4103,15.414863586425781,
456,4112,15.46674919128418,
457,4121,15.417150497436523,
458,4130,15.497586250305176,
459,4139,15.34837818145752,
460,4148,15.41572380065918,
461,4149,,16.304065704345703
461,4157,15.58263111114502,
462,4166,15.493592262268066,
463,4175,15.381868362426758,
464,4184,15.493952751159668,
465,4193,15.469943046569824,
466,4199,,14.46916389465332
466,4202,15.40843391418457,
